Name	Formula	Distribution	Masses	Adducts	Isotopes
Deoxyuridine	[M1];[C9H12N2O5]n	0.888827271367884 0.009132671924296848 0.0016928855274306346 6.391379647088878E-4 1.6478810905849593E-4 0.006565931344615816 0.003743099823484503 0.08651982839657048 8.889884830787283E-4 0.0013289495998989786 0.8890317369099285 0.009134772801233761 0.0016932749582774772 6.392849918024582E-4 1.6482601686255025E-4 0.006567441769368352 0.0037439608849741636 8.891929857058635E-4 0.08653973139030231 0.0011247544939578648	229.08189795889078 231.08614373679077 230.08611483679076 231.0822876898508 231.08946967459076 230.07893285205077 231.08860763449078 230.08525279669075 232.08949857459075 230.08817470475074 227.06734505442924 229.07159083232924 228.07156193232922 229.06773478538926 229.07491677012922 228.06437994758923 229.07405473002925 230.0749456701292 228.07069989222921 228.07362180028926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]9[1H]13[14N]2[16O]5 [12C]9[1H]13[14N]2[16O]4[18O]1 [12C]9[1H]13[14N]2[16O]4[17O]1 [12C]8[13C]1[1H]13[14N]1[15N]1[16O]5 [12C]8[13C]1[1H]13[14N]2[16O]4[17O]1 [12C]9[1H]13[14N]1[15N]1[16O]5 [12C]7[13C]2[1H]13[14N]2[16O]5 [12C]8[13C]1[1H]13[14N]2[16O]5 [12C]8[13C]1[1H]13[14N]2[16O]4[18O]1 [12C]9[1H]12[2H]1[14N]2[16O]5 [12C]9[1H]11[14N]2[16O]5 [12C]9[1H]11[14N]2[16O]4[18O]1 [12C]9[1H]11[14N]2[16O]4[17O]1 [12C]8[13C]1[1H]11[14N]1[15N]1[16O]5 [12C]8[13C]1[1H]11[14N]2[16O]4[17O]1 [12C]9[1H]11[14N]1[15N]1[16O]5 [12C]7[13C]2[1H]11[14N]2[16O]5 [12C]8[13C]1[1H]11[14N]2[16O]4[18O]1 [12C]8[13C]1[1H]11[14N]2[16O]5 [12C]9[1H]10[2H]1[14N]2[16O]5
pyrazinoate	[M1];[C5H4N2O2]n	0.9355667285438477 0.0038451673436749037 7.127627271202258E-4 0.006911204354105831 0.0010944257579244088 3.7374854234778336E-4 5.380127403778554E-4 0.05059417767825318 2.0794142614637362E-4 3.854523996859607E-5 0.9357819460157151 0.003846051884744359 7.129266908306614E-4 0.00691279420535136 0.0010946775192767326 3.7383451934327083E-4 3.228819027942429E-4 0.05060581634675101 2.0798926092572856E-4 3.8554106903305765E-5	125.03455383547076 127.03879961337077 126.03877071337077 126.03158872863077 127.04126351107077 127.03494356643077 126.04083058133077 126.03790867327076 128.04215445117077 127.04212555117077 123.02000093100924 125.02424670890923 124.02421780890924 124.01703582416923 125.02671060660923 125.02039066196923 124.02627767686924 124.02335576880924 126.02760154670923 125.02757264670925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]5[14N]2[16O]2 [12C]5[1H]5[14N]2[16O]1[18O]1 [12C]5[1H]5[14N]2[16O]1[17O]1 [12C]5[1H]5[14N]1[15N]1[16O]2 [12C]3[13C]2[1H]5[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]1[15N]1[16O]2 [12C]5[1H]4[2H]1[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]2[16O]1[18O]1 [12C]4[13C]1[1H]5[14N]2[16O]1[17O]1 [12C]5[1H]3[14N]2[16O]2 [12C]5[1H]3[14N]2[16O]1[18O]1 [12C]5[1H]3[14N]2[16O]1[17O]1 [12C]5[1H]3[14N]1[15N]1[16O]2 [12C]3[13C]2[1H]3[14N]2[16O]2 [12C]4[13C]1[1H]3[14N]1[15N]1[16O]2 [12C]5[1H]2[2H]1[14N]2[16O]2 [12C]4[13C]1[1H]3[14N]2[16O]2 [12C]4[13C]1[1H]3[14N]2[16O]1[18O]1 [12C]4[13C]1[1H]3[14N]2[16O]1[17O]1
(R)-2-Hydroxyglutarate	[M1];[C5H8O5]n	0.935206303113905 0.00960921499936598 0.0017812203413458884 3.9493751313091327E-5 0.0010940041323339454 9.680498494555784E-4 0.05057468636065292 5.196532926979481E-4 9.63259762074245E-5 5.235082072765941E-5 0.9354214376736214 0.009611425500119905 0.0017816300927051528 3.9502836443048216E-5 0.0010942557966956525 7.531008639266167E-4 0.050586320545374264 5.197728335756749E-4 9.63481350042714E-5 4.072667160626099E-5	149.04444981985077 151.04869559775076 150.04866669775075 153.05294137565076 151.05115949545078 150.0507265657108 150.04780465765077 152.05205043555077 151.05202153555078 151.05408140351076 147.02989691538923 149.03414269328923 148.03411379328924 151.03838847118925 149.03660659098924 148.03617366124925 148.03325175318926 150.03749753108926 149.03746863108924 149.03952849904923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]9[16O]5 [12C]5[1H]9[16O]4[18O]1 [12C]5[1H]9[16O]4[17O]1 [12C]5[1H]9[16O]3[18O]2 [12C]3[13C]2[1H]9[16O]5 [12C]5[1H]8[2H]1[16O]5 [12C]4[13C]1[1H]9[16O]5 [12C]4[13C]1[1H]9[16O]4[18O]1 [12C]4[13C]1[1H]9[16O]4[17O]1 [12C]4[13C]1[1H]8[2H]1[16O]5 [12C]5[1H]7[16O]5 [12C]5[1H]7[16O]4[18O]1 [12C]5[1H]7[16O]4[17O]1 [12C]5[1H]7[16O]3[18O]2 [12C]3[13C]2[1H]7[16O]5 [12C]5[1H]6[2H]1[16O]5 [12C]4[13C]1[1H]7[16O]5 [12C]4[13C]1[1H]7[16O]4[18O]1 [12C]4[13C]1[1H]7[16O]4[17O]1 [12C]4[13C]1[1H]6[2H]1[16O]5
Uridine	[M1];[C9H12N2O6]n	0.8866674210984601 0.010932575437824976 0.0020265261787187753 6.375848594546452E-4 1.9726520874418068E-4 0.006549976131448399 0.0037340040909134356 0.08630958521356681 0.0010641938892778171 0.0013257202523712242 0.8868713897892374 0.010935090363992124 0.002026992360154637 6.377315292723783E-4 1.9731058756988925E-4 0.006551482885868787 0.0037348630600236767 0.0010644386961007187 0.08632943984302388 0.0011220213405375473	245.07681258099078 247.08105835889077 246.08102945889075 247.0772023119508 247.08438429669079 246.07384747415077 247.08352225659078 246.08016741879075 248.08441319669078 246.08308932685074 243.06225967652924 245.06650545442923 244.06647655442922 245.06264940748926 245.06983139222925 244.05929456968923 245.06896935212924 246.06986029222924 244.0656145143292 244.06853642238926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]9[1H]13[14N]2[16O]6 [12C]9[1H]13[14N]2[16O]5[18O]1 [12C]9[1H]13[14N]2[16O]5[17O]1 [12C]8[13C]1[1H]13[14N]1[15N]1[16O]6 [12C]8[13C]1[1H]13[14N]2[16O]5[17O]1 [12C]9[1H]13[14N]1[15N]1[16O]6 [12C]7[13C]2[1H]13[14N]2[16O]6 [12C]8[13C]1[1H]13[14N]2[16O]6 [12C]8[13C]1[1H]13[14N]2[16O]5[18O]1 [12C]9[1H]12[2H]1[14N]2[16O]6 [12C]9[1H]11[14N]2[16O]6 [12C]9[1H]11[14N]2[16O]5[18O]1 [12C]9[1H]11[14N]2[16O]5[17O]1 [12C]8[13C]1[1H]11[14N]1[15N]1[16O]6 [12C]8[13C]1[1H]11[14N]2[16O]5[17O]1 [12C]9[1H]11[14N]1[15N]1[16O]6 [12C]7[13C]2[1H]11[14N]2[16O]6 [12C]8[13C]1[1H]11[14N]2[16O]5[18O]1 [12C]8[13C]1[1H]11[14N]2[16O]6 [12C]9[1H]10[2H]1[14N]2[16O]6
cis-Aconitate	[M1];[C6H6O6]n	0.9231636760897677 0.01138257286797332 0.002109940336502371 5.847778697070206E-5 0.001619875004745013 7.432322309588232E-4 0.059908124941840835 7.386648924733527E-4 1.369232483609141E-4 4.82315872107111E-5 0.923376040367404 0.011385191311405788 0.002110425706504487 5.849123918216732E-5 0.001620247640274501 5.310022884744314E-4 0.059921906187796824 7.388348147096455E-4 1.369547461413001E-4 3.445905884975087E-5	175.02371437767076 177.02796015557078 176.0279312555708 179.03220593347078 177.03042405327076 176.02999112353078 176.0270692154708 178.03131499337078 177.03128609337077 177.03334596133075 173.00916147320922 175.01340725110924 174.01337835110925 177.01765302900924 175.01587114880923 174.01543821906924 174.01251631100925 176.01676208890925 175.01673318890923 175.01879305686924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]7[16O]6 [12C]6[1H]7[16O]5[18O]1 [12C]6[1H]7[16O]5[17O]1 [12C]6[1H]7[16O]4[18O]2 [12C]4[13C]2[1H]7[16O]6 [12C]6[1H]6[2H]1[16O]6 [12C]5[13C]1[1H]7[16O]6 [12C]5[13C]1[1H]7[16O]5[18O]1 [12C]5[13C]1[1H]7[16O]5[17O]1 [12C]5[13C]1[1H]6[2H]1[16O]6 [12C]6[1H]5[16O]6 [12C]6[1H]5[16O]5[18O]1 [12C]6[1H]5[16O]5[17O]1 [12C]6[1H]5[16O]4[18O]2 [12C]4[13C]2[1H]5[16O]6 [12C]6[1H]4[2H]1[16O]6 [12C]5[13C]1[1H]5[16O]6 [12C]5[13C]1[1H]5[16O]5[18O]1 [12C]5[13C]1[1H]5[16O]5[17O]1 [12C]5[13C]1[1H]4[2H]1[16O]6
Xanthine	[M1];[C5H4N4O2]n	0.9286936272406298 0.0038169189848196922 7.075264459665768E-4 0.01372086296870691 0.0010863856054974697 7.42005629056727E-4 7.601891318779324E-5 5.340602525924098E-4 0.050222489697133034 2.0641379327590578E-4 0.9289072636264654 0.003817797027645685 7.076892051245658E-4 0.013724019311648435 0.001086635517295693 7.42176319794998E-4 7.603640055433935E-5 3.2050986458555773E-4 0.050234042862646225 2.064612766390824E-4	153.04070184595076 155.04494762385076 154.04491872385077 154.03773673911076 155.04741152155077 155.04109157691076 155.03477163227078 154.04697859181076 154.04405668375077 156.04830246165076 151.02614894148923 153.03039471938922 152.03036581938923 152.02318383464925 153.03285861708923 153.02653867244925 153.02021872780924 152.03242568734925 152.02950377928923 154.03374955718922	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]5[14N]4[16O]2 [12C]5[1H]5[14N]4[16O]1[18O]1 [12C]5[1H]5[14N]4[16O]1[17O]1 [12C]5[1H]5[14N]3[15N]1[16O]2 [12C]3[13C]2[1H]5[14N]4[16O]2 [12C]4[13C]1[1H]5[14N]3[15N]1[16O]2 [12C]5[1H]5[14N]2[15N]2[16O]2 [12C]5[1H]4[2H]1[14N]4[16O]2 [12C]4[13C]1[1H]5[14N]4[16O]2 [12C]4[13C]1[1H]5[14N]4[16O]1[18O]1 [12C]5[1H]3[14N]4[16O]2 [12C]5[1H]3[14N]4[16O]1[18O]1 [12C]5[1H]3[14N]4[16O]1[17O]1 [12C]5[1H]3[14N]3[15N]1[16O]2 [12C]3[13C]2[1H]3[14N]4[16O]2 [12C]4[13C]1[1H]3[14N]3[15N]1[16O]2 [12C]5[1H]3[14N]2[15N]2[16O]2 [12C]5[1H]2[2H]1[14N]4[16O]2 [12C]4[13C]1[1H]3[14N]4[16O]2 [12C]4[13C]1[1H]3[14N]4[16O]1[18O]1
Gallate	[M1];[C7H6O5]n	0.9155105153078051 0.00940684140652285 0.0017437071875505761 4.054139487467938E-5 0.0022490244083843156 7.37070727956498E-4 0.06931339087895952 7.121928852204203E-4 1.3201624213841933E-4 5.5803697082726924E-5 0.9157211190547759 0.009409005353320017 0.0017441083093959048 4.055072100422706E-5 0.002249541773241971 5.266002024797809E-4 0.0693293357092922 7.123567178446071E-4 1.3204661111265882E-4 3.986895296243366E-5	171.02879975557076 173.03304553347076 172.03301663347077 174.03886426897077 173.03550943117077 172.03507650143078 172.0321545933708 174.0364003712708 173.03637147127077 173.03843133923075 169.01424685110922 171.01849262900922 170.01846372900923 172.02431136450923 171.02095652670923 170.02052359696924 170.01760168890925 172.02184746680925 171.02181856680923 171.02387843476924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]7[1H]7[16O]5 [12C]7[1H]7[16O]4[18O]1 [12C]7[1H]7[16O]4[17O]1 [12C]4[13C]3[1H]7[16O]5 [12C]5[13C]2[1H]7[16O]5 [12C]7[1H]6[2H]1[16O]5 [12C]6[13C]1[1H]7[16O]5 [12C]6[13C]1[1H]7[16O]4[18O]1 [12C]6[13C]1[1H]7[16O]4[17O]1 [12C]6[13C]1[1H]6[2H]1[16O]5 [12C]7[1H]5[16O]5 [12C]7[1H]5[16O]4[18O]1 [12C]7[1H]5[16O]4[17O]1 [12C]4[13C]3[1H]5[16O]5 [12C]5[13C]2[1H]5[16O]5 [12C]7[1H]4[2H]1[16O]5 [12C]6[13C]1[1H]5[16O]5 [12C]6[13C]1[1H]5[16O]4[18O]1 [12C]6[13C]1[1H]5[16O]4[17O]1 [12C]6[13C]1[1H]4[2H]1[16O]5
MOPS	[M1];[C7H15NO4S]n	0.8671071460615426 0.039185606832445145 0.006941972305980959 0.0029667461353989123 0.007127598662454414 0.0021301176814132075 0.06564876704741694 0.0013212134106013057 0.0015956606497279581 0.0032027403821126513 0.8673066151128884 0.03919462107694398 0.006943569235076322 0.0029674286047337577 0.007129238292977623 0.002130607693005312 0.06566386886885213 0.0013215173421129247 0.001396524250620567 0.0032034771394887484	210.07945511797075 212.07525125797073 211.07884292797073 213.07860609577074 212.08370089587075 212.08616479357076 211.08280995577076 211.08367199587076 211.08573186383077 211.07649001113077 208.06490221350924 210.06069835350922 209.06429002350924 211.06405319130923 210.06914799140924 210.07161188910925 209.06825705130925 209.06911909140925 209.07117895936923 209.06193710666923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]7[1H]16[14N]1[16O]4[32S]1 [12C]7[1H]16[14N]1[16O]4[34S]1 [12C]7[1H]16[14N]1[16O]4[33S]1 [12C]6[13C]1[1H]16[14N]1[16O]4[34S]1 [12C]7[1H]16[14N]1[16O]3[18O]1[32S]1 [12C]5[13C]2[1H]16[14N]1[16O]4[32S]1 [12C]6[13C]1[1H]16[14N]1[16O]4[32S]1 [12C]7[1H]16[14N]1[16O]3[17O]1[32S]1 [12C]7[1H]15[2H]1[14N]1[16O]4[32S]1 [12C]7[1H]16[15N]1[16O]4[32S]1 [12C]7[1H]14[14N]1[16O]4[32S]1 [12C]7[1H]14[14N]1[16O]4[34S]1 [12C]7[1H]14[14N]1[16O]4[33S]1 [12C]6[13C]1[1H]14[14N]1[16O]4[34S]1 [12C]7[1H]14[14N]1[16O]3[18O]1[32S]1 [12C]5[13C]2[1H]14[14N]1[16O]4[32S]1 [12C]6[13C]1[1H]14[14N]1[16O]4[32S]1 [12C]7[1H]14[14N]1[16O]3[17O]1[32S]1 [12C]7[1H]13[2H]1[14N]1[16O]4[32S]1 [12C]7[1H]14[15N]1[16O]4[32S]1
L-Rhamnose	[M1];[C6H12O5]n	0.9247740772655375 0.00950202421080401 0.001761350829319767 3.905319853674071E-5 0.001622700775168835 0.0013826962555813745 8.972920207047843E-5 0.06001263091119737 6.166278725701182E-4 1.1430175198860724E-4 0.9249868119993467 0.009504210053423117 0.0017617560099028211 3.9062182322077425E-5 0.0016230740607376503 0.0011702428951121115 7.594217514019775E-5 0.06002643619767322 6.167697214492719E-4 1.1432804592718208E-4	165.0757499484108 167.07999572631078 166.07996682631077 169.08424150421078 167.0824596240108 166.08202669427075 167.08538153207078 166.07910478621076 168.08335056411076 167.08332166411077 163.06119704394925 165.06544282184925 164.06541392184923 167.06968859974924 165.06790671954926 164.06747378980924 165.07082862760925 164.06455188174922 166.06879765964922 165.06876875964923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]13[16O]5 [12C]6[1H]13[16O]4[18O]1 [12C]6[1H]13[16O]4[17O]1 [12C]6[1H]13[16O]3[18O]2 [12C]4[13C]2[1H]13[16O]5 [12C]6[1H]12[2H]1[16O]5 [12C]5[13C]1[1H]12[2H]1[16O]5 [12C]5[13C]1[1H]13[16O]5 [12C]5[13C]1[1H]13[16O]4[18O]1 [12C]5[13C]1[1H]13[16O]4[17O]1 [12C]6[1H]11[16O]5 [12C]6[1H]11[16O]4[18O]1 [12C]6[1H]11[16O]4[17O]1 [12C]6[1H]11[16O]3[18O]2 [12C]4[13C]2[1H]11[16O]5 [12C]6[1H]10[2H]1[16O]5 [12C]5[13C]1[1H]10[2H]1[16O]5 [12C]5[13C]1[1H]11[16O]5 [12C]5[13C]1[1H]11[16O]4[18O]1 [12C]5[13C]1[1H]11[16O]4[17O]1
Orotate	[M1];[C5H4N2O4]n	0.9310253986711001 0.007653005071426589 0.001418605818118099 3.7193433137974096E-4 0.006877656710915468 0.0010891133112155545 4.1386411737725934E-4 7.671627541627245E-5 5.354011753710498E-4 0.05034858872829665 0.931239571456892 0.0076547655662725575 0.0014189321537480834 3.7201989103471586E-4 0.006879238844871857 0.0010893638504943313 4.1395932254683303E-4 7.673392320380317E-5 3.2131460333201077E-4 0.05036017090159075	157.02438307967077 159.02862885757077 158.02859995757078 159.02477281063076 158.02141797283076 159.03109275527078 160.03198369537077 159.03195479537075 158.03065982553076 158.02773791747077 155.00983017520923 157.01407595310926 156.01404705310924 157.01021990616923 156.00686506836922 157.01653985080924 158.01743079090923 157.01740189090924 156.01610692106925 156.01318501300923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]5[14N]2[16O]4 [12C]5[1H]5[14N]2[16O]3[18O]1 [12C]5[1H]5[14N]2[16O]3[17O]1 [12C]4[13C]1[1H]5[14N]1[15N]1[16O]4 [12C]5[1H]5[14N]1[15N]1[16O]4 [12C]3[13C]2[1H]5[14N]2[16O]4 [12C]4[13C]1[1H]5[14N]2[16O]3[18O]1 [12C]4[13C]1[1H]5[14N]2[16O]3[17O]1 [12C]5[1H]4[2H]1[14N]2[16O]4 [12C]4[13C]1[1H]5[14N]2[16O]4 [12C]5[1H]3[14N]2[16O]4 [12C]5[1H]3[14N]2[16O]3[18O]1 [12C]5[1H]3[14N]2[16O]3[17O]1 [12C]4[13C]1[1H]3[14N]1[15N]1[16O]4 [12C]5[1H]3[14N]1[15N]1[16O]4 [12C]3[13C]2[1H]3[14N]2[16O]4 [12C]4[13C]1[1H]3[14N]2[16O]3[18O]1 [12C]4[13C]1[1H]3[14N]2[16O]3[17O]1 [12C]5[1H]2[2H]1[14N]2[16O]4 [12C]4[13C]1[1H]3[14N]2[16O]4
L-Glutamine	[M1];[C5H10N2O3]n	0.9326495141291975 0.005749766444354346 0.0010658103652949516 0.001091013201129288 0.00688965435200628 6.380940771948885E-5 3.7258314751070066E-4 0.0011799373281661742 0.05043641868585069 3.109395580440287E-4 0.9328640605259912 0.005751089118793515 0.0010660555439714805 5.765083554278198E-5 0.006891239245896196 0.0010912641774581346 3.7266885641913135E-4 9.656253495595997E-4 0.05044802106352021 3.1101108648079766E-4	147.07641865041077 149.08066442831077 148.08063552831075 149.08312832601078 148.07345354357076 149.08605023407077 149.07680838137077 148.08269539627076 148.07977348821078 150.08401926611077 145.06186574594923 147.06611152384923 146.06608262384924 147.06943746164924 146.05890063910923 147.06857542154924 147.06225547690923 146.06814249180925 146.06522058374924 148.06946636164926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]11[14N]2[16O]3 [12C]5[1H]11[14N]2[16O]2[18O]1 [12C]5[1H]11[14N]2[16O]2[17O]1 [12C]3[13C]2[1H]11[14N]2[16O]3 [12C]5[1H]11[14N]1[15N]1[16O]3 [12C]4[13C]1[1H]10[2H]1[14N]2[16O]3 [12C]4[13C]1[1H]11[14N]1[15N]1[16O]3 [12C]5[1H]10[2H]1[14N]2[16O]3 [12C]4[13C]1[1H]11[14N]2[16O]3 [12C]4[13C]1[1H]11[14N]2[16O]2[18O]1 [12C]5[1H]9[14N]2[16O]3 [12C]5[1H]9[14N]2[16O]2[18O]1 [12C]5[1H]9[14N]2[16O]2[17O]1 [12C]4[13C]1[1H]9[14N]2[16O]2[17O]1 [12C]5[1H]9[14N]1[15N]1[16O]3 [12C]3[13C]2[1H]9[14N]2[16O]3 [12C]4[13C]1[1H]9[14N]1[15N]1[16O]3 [12C]5[1H]8[2H]1[14N]2[16O]3 [12C]4[13C]1[1H]9[14N]2[16O]3 [12C]4[13C]1[1H]9[14N]2[16O]2[18O]1
beta-Alanine	[M1];[C3H7NO2]n	0.9591136279908193 0.003941944800627884 7.307019630432172E-4 0.003542574826367247 2.8634187161610395E-5 8.824860236442728E-4 0.031120537206616103 1.2790501172561922E-4 3.3659127475062423E-4 1.1494658033598369E-4 0.959334262183926 0.003942851604352672 7.308700534897633E-4 0.003543389759150522 3.366687041001236E-4 6.620167728357854E-4 0.031127696165070287 1.2793443495372566E-4 2.371467574751987E-5 1.1497302261066592E-4	90.05495492665077 92.05920070455076 91.05917180455077 91.05198981981076 92.06458651031078 91.06123167251077 91.05830976445077 93.06255554235076 92.06166460225077 92.05534465761076 88.04040202218924 90.04464780008924 89.04461890008923 89.03743691534923 90.04711169778923 89.04667876804923 89.04375685998924 91.04800263788924 90.04797373788924 90.04079175314924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]3[1H]8[14N]1[16O]2 [12C]3[1H]8[14N]1[16O]1[18O]1 [12C]3[1H]8[14N]1[16O]1[17O]1 [12C]3[1H]8[15N]1[16O]2 [12C]2[13C]1[1H]7[2H]1[14N]1[16O]2 [12C]3[1H]7[2H]1[14N]1[16O]2 [12C]2[13C]1[1H]8[14N]1[16O]2 [12C]2[13C]1[1H]8[14N]1[16O]1[18O]1 [12C]1[13C]2[1H]8[14N]1[16O]2 [12C]2[13C]1[1H]8[15N]1[16O]2 [12C]3[1H]6[14N]1[16O]2 [12C]3[1H]6[14N]1[16O]1[18O]1 [12C]3[1H]6[14N]1[16O]1[17O]1 [12C]3[1H]6[15N]1[16O]2 [12C]1[13C]2[1H]6[14N]1[16O]2 [12C]3[1H]5[2H]1[14N]1[16O]2 [12C]2[13C]1[1H]6[14N]1[16O]2 [12C]2[13C]1[1H]6[14N]1[16O]1[18O]1 [12C]2[13C]1[1H]6[14N]1[16O]1[17O]1 [12C]2[13C]1[1H]6[15N]1[16O]2
L-Asparagine	[M1];[C4H8N2O3]n	0.9429536647386951 0.005813291336089673 0.0010775857110800367 4.6619497052689374E-5 0.006965773017180023 6.618401965782684E-4 3.0135963321065916E-4 9.760692909730106E-4 0.040794922521799434 2.514999183105612E-4 0.9431705814990091 0.005814628623774678 0.0010778335985533547 4.663022138692369E-5 0.0069673754213834 6.619924460860181E-4 3.014289578845747E-4 7.593396421655512E-4 0.040804306972766206 2.515577732715621E-4	133.06076858613076 135.06501436403076 134.06498546403077 135.06834030183077 134.05780347929075 135.06747826173077 135.06115831709076 134.06704533199076 134.06412342393077 136.0683692018308 131.04621568166922 133.05046145956922 132.05043255956923 133.05378739736923 132.04325057482924 133.05292535726923 133.04660541262925 132.05249242752924 132.04957051946923 134.05381629736925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]9[14N]2[16O]3 [12C]4[1H]9[14N]2[16O]2[18O]1 [12C]4[1H]9[14N]2[16O]2[17O]1 [12C]3[13C]1[1H]9[14N]2[16O]2[17O]1 [12C]4[1H]9[14N]1[15N]1[16O]3 [12C]2[13C]2[1H]9[14N]2[16O]3 [12C]3[13C]1[1H]9[14N]1[15N]1[16O]3 [12C]4[1H]8[2H]1[14N]2[16O]3 [12C]3[13C]1[1H]9[14N]2[16O]3 [12C]3[13C]1[1H]9[14N]2[16O]2[18O]1 [12C]4[1H]7[14N]2[16O]3 [12C]4[1H]7[14N]2[16O]2[18O]1 [12C]4[1H]7[14N]2[16O]2[17O]1 [12C]3[13C]1[1H]7[14N]2[16O]2[17O]1 [12C]4[1H]7[14N]1[15N]1[16O]3 [12C]2[13C]2[1H]7[14N]2[16O]3 [12C]3[13C]1[1H]7[14N]1[15N]1[16O]3 [12C]4[1H]6[2H]1[14N]2[16O]3 [12C]3[13C]1[1H]7[14N]2[16O]3 [12C]3[13C]1[1H]7[14N]2[16O]2[18O]1
dGMP	[M1];[C10H14N5O7P]n	0.8652244675068851 0.012446215412175391 0.0023071033446959255 2.495300291948492E-4 0.09358032752778413 0.015978932674368364 0.004554627282384313 0.0013461488417090557 0.0017282379421382972 0.0014926838650938625 0.8654235034674568 0.012449078535599517 0.0023076340700135677 2.4958743100318617E-4 0.09360185471648438 0.015982608462944844 0.0045556750273918105 0.0013464585093592946 0.0017286355054433444 0.0012939569427322657	348.0703607950907 350.0746065729908 349.07457767299076 350.07793251079073 349.07371563289075 349.0673956882507 350.0770704706907 351.07796141079075 350.07075052605074 349.07663754095074 346.0558078906293 348.0600536685293 347.0600247685293 348.0633796063293 347.05916272842927 347.0528427837893 348.0625175662293 349.0634085063293 348.05619762158926 347.06208463648926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]10[1H]15[14N]5[16O]7[31P]1 [12C]10[1H]15[14N]5[16O]6[18O]1[31P]1 [12C]10[1H]15[14N]5[16O]6[17O]1[31P]1 [12C]9[13C]1[1H]15[14N]5[16O]6[17O]1[31P]1 [12C]9[13C]1[1H]15[14N]5[16O]7[31P]1 [12C]10[1H]15[14N]4[15N]1[16O]7[31P]1 [12C]8[13C]2[1H]15[14N]5[16O]7[31P]1 [12C]9[13C]1[1H]15[14N]5[16O]6[18O]1[31P]1 [12C]9[13C]1[1H]15[14N]4[15N]1[16O]7[31P]1 [12C]10[1H]14[2H]1[14N]5[16O]7[31P]1 [12C]10[1H]13[14N]5[16O]7[31P]1 [12C]10[1H]13[14N]5[16O]6[18O]1[31P]1 [12C]10[1H]13[14N]5[16O]6[17O]1[31P]1 [12C]9[13C]1[1H]13[14N]5[16O]6[17O]1[31P]1 [12C]9[13C]1[1H]13[14N]5[16O]7[31P]1 [12C]10[1H]13[14N]4[15N]1[16O]7[31P]1 [12C]8[13C]2[1H]13[14N]5[16O]7[31P]1 [12C]9[13C]1[1H]13[14N]5[16O]6[18O]1[31P]1 [12C]9[13C]1[1H]13[14N]4[15N]1[16O]7[31P]1 [12C]10[1H]12[2H]1[14N]5[16O]7[31P]1
